YEAR,AUSTRALIA,GUINEA,BRAZIL,INDIA,JAMAICA,SURINAME,GREECE,GUYANA,HUNGARY,VENEZUELA,USA
,,,,,,,,,,,
1960,70,1378,121,381,5837,3455,,,,,
1961,,,,,,,,,,,
1962,,,,,,,,,,,
1963,,,,,,,,,,,
1964,,,,,,,,,,,
1965,1186,1600,188,707,8651,4360,,,,,
1966,,,,,,,,,,,
1967,,,,,,,,,,,
1968,,,,,,,,,,,
1969,,,,,,,,,,,
1970,9256,2490,510,1374,12010,6022,,,,,
1971,,,,,,,,,,,
1972,,,,,,,,,,,
1973,,,,,,,,,,,
1974,,,,,,,,,,,
1975,21034,8406,969,1094,11570,4751,,,,,
1976,,,,,,,,,,,
1977,26086,11300,1035,1512,11483,4856,,,,,
1978,24293,11648,1131,1663,11736,5113,,,,,
1979,27584,12199,1642,1934,11505,4741,,,,,
1980,4600,6500,2500,300,200,490,,,,,
1981,25441,12822,4049,1955,11605,4125,,,,,
1982,23625,11827,3469,1954,8157,3060,,,,,
1983,24372,12986,4281,1929,7724,2793,,,,,
1984,31536,14738,5702,2035,8605,3375,,,,,
1985,31177,14329,6251,2016,6218,3738,,,,,
1986,32383,12439,5418,2662,6953,3731,,,,,
1987,34101,16282,6376,2778,7702,2522,,,,,
1988,36192,16834,7727,3402,7316,3434,,,,,
1989,38583,16523,8665,4768,9601,3530,,,,,
1990,40697,16500,8750,5000,13983,3267,,,,,
1991,40500,15800,10400,4740,11600,3200,,,,,
1992,39700,15500,9370,4900,11300,3500,,,,,
1993,41300,13800,9410,5220,11400,3400,,,,,
1994,41700,14100,8120,5400,11700,3440,1600,2100,900,,
1995,42655,15800,10214,5240,12000,3530,1600,2100,900,,
1996,43063,15600,10998,5757,11863,3695,,,,,
1997,44465,16400,11671,6019,11987,3877,,,,,
1998,44553,15000,11961,6102,12646,4000,,,,,
1999,48416,15000,12880,6200,11688,4000,,,,,
2000,53802,15700,13866,7562,11127,3610,,,,,
2001,53799,15100,13388,7864,12370,4394,,,,,
2002,54135,15700,13148,9647,13120,4002,,,,,
2003,55602,16000,18457,10414,13444,4215,,,,,
2004,56593,16000,18500,11285,13296,4052,,,,,
2005,59959,16817,22034,12385,14116,4757,,,,,
2006,61780,18784,23236,13940,14865,4924,,,,,
2007,62398,18519,25461,20343,14568,5054,,,,,
2008,61389,18400,28098,21210,14363,5200,,,,,
2009,65231,15600,28200,16000,7817,4000,,,,,
2010,68414,15900,32028,14124,8540,3104,,,,,
2011,69976,15696,33625,12723,10189,3236,,,,,
2012,76282,16041,34956,13600,9339,3400,,,,,
2013,81109,16887,32481,15360,9435,3000,,,,,
2014,78633,17258,34800,16500,9677,3000,,,,,
2015,80900,18100,33900,23800,9630,1600,,,,,
2016,82000,19700,34500,25000,8500,1500,,,,,
2017,87900,46200,38500,22900,8250,2400,,,,,
2018,85000,50000,27000,24000,10000,2500,,,,,
2019,105000,67000,34000,23000,9020,4000,,,,,
2020,110000,82000,35000,22000,7700,4000,,,,,